Activity Date,Process Date,Settle Date,Instrument,Description,Trans Code,Quantity,Price,Amount,
1/22/2024,1/22/2024,1/23/2024,NVDA,NVDA 3/1/2024 Put $565.00,BTO,1,$17.82,"-$1,782.03",
1/22/2024,1/22/2024,1/23/2024,NVDA,NVDA 3/1/2024 Put $570.00,STO,1,$19.55,"$1,954.94",
1/18/2024,1/18/2024,1/18/2024,MU,Cash Div: R/D 2024-01-02 P/D 2024-01-18 - 35 shares at 0.115,CDIV,,,$4.03,
1/18/2024,1/18/2024,1/19/2024,PLTR,PLTR 2/23/2024 Call $18.50,STO,2,$0.62,$123.92,
1/17/2024,1/17/2024,1/18/2024,,ACH Deposit,ACH,,,"$4,000.00",
1/16/2024,1/16/2024,1/17/2024,PLTR,PLTR 2/23/2024 Put $15.00,STO,4,$0.69,$275.86,
1/8/2024,1/8/2024,1/8/2024,VOOG,Stock Lending,SLIP,,,$0.01,
1/8/2024,1/8/2024,1/8/2024,BB,Stock Lending,SLIP,,,$0.01,
1/2/2024,1/2/2024,1/2/2024,,Gold Subscription Fee,GOLD,,,-$5.00,
12/29/2023,12/29/2023,12/29/2023,,Interest Payment,INT,,,$47.05,
12/28/2023,12/28/2023,12/28/2023,NVDA,Cash Div: R/D 2023-12-06 P/D 2023-12-28 - 40 shares at 0.04,CDIV,,,$1.60,
12/26/2023,12/26/2023,12/26/2023,VOOG,Cash Div: R/D 2023-12-21 P/D 2023-12-26 - 10 shares at 0.9117,CDIV,,,$9.12,
12/14/2023,12/14/2023,12/14/2023,MSFT,Cash Div: R/D 2023-11-16 P/D 2023-12-14 - 20 shares at 0.75,CDIV,,,$15.00,
12/7/2023,12/7/2023,12/7/2023,VOOG,Stock Lending,SLIP,,,$0.01,
12/7/2023,12/7/2023,12/7/2023,BB,Stock Lending,SLIP,,,$0.01,
12/5/2023,12/5/2023,12/5/2023,JNJ,Cash Div: R/D 2023-11-21 P/D 2023-12-05 - 20 shares at 1.19,CDIV,,,$23.80,
12/4/2023,12/4/2023,12/4/2023,,Gold Subscription Fee,GOLD,,,-$5.00,
11/30/2023,11/30/2023,11/30/2023,,Interest Payment,INT,,,$39.75,
11/6/2023,11/6/2023,11/6/2023,VOOG,Stock Lending,SLIP,,,$0.01,
11/6/2023,11/6/2023,11/6/2023,BB,Stock Lending,SLIP,,,$0.01,
11/6/2023,11/6/2023,11/6/2023,LULU,Stock Lending,SLIP,,,$0.01,
10/31/2023,10/31/2023,10/31/2023,,Interest Payment,INT,,,$14.23,
10/25/2023,10/25/2023,10/25/2023,MU,Cash Div: R/D 2023-10-10 P/D 2023-10-25 - 35 shares at 0.115,CDIV,,,$4.03,
10/6/2023,10/6/2023,10/6/2023,VOOG,Stock Lending,SLIP,,,$0.01,
10/6/2023,10/6/2023,10/6/2023,BB,Stock Lending,SLIP,,,$0.01,
10/3/2023,10/3/2023,10/3/2023,VOOG,Cash Div: R/D 2023-09-29 P/D 2023-10-03 - 10 shares at 0.7511,CDIV,,,$7.51,
9/29/2023,9/29/2023,9/29/2023,,Interest Payment,INT,,,$13.72,
9/28/2023,9/28/2023,9/28/2023,NVDA,Cash Div: R/D 2023-09-07 P/D 2023-09-28 - 40 shares at 0.04,CDIV,,,$1.60,
9/14/2023,9/14/2023,9/14/2023,MSFT,Cash Div: R/D 2023-08-17 P/D 2023-09-14 - 20 shares at 0.68,CDIV,,,$13.60,
9/8/2023,9/8/2023,9/8/2023,VOOG,Stock Lending,SLIP,,,$0.01,
9/8/2023,9/8/2023,9/8/2023,JNJ,Stock Lending,SLIP,,,$0.01,
9/7/2023,9/7/2023,9/7/2023,JNJ,Cash Div: R/D 2023-08-28 P/D 2023-09-07 - 20 shares at 1.19,CDIV,,,$23.80,
8/31/2023,8/31/2023,8/31/2023,,Interest Payment,INT,,,$14.13,
7/31/2023,7/31/2023,7/31/2023,,Interest Payment,INT,,,$10.22,
7/25/2023,7/25/2023,7/25/2023,MU,Cash Div: R/D 2023-07-10 P/D 2023-07-25 - 35 shares at 0.115,CDIV,,,$4.03,
7/14/2023,7/14/2023,7/17/2023,RIOT,RIOT 7/14/2023 Call $14.00,OASGN,4,,,
7/14/2023,7/14/2023,7/18/2023,RIOT,"Riot Platforms
CUSIP: 767292105
4 RIOT Options Assigned",Sell,400,$14.00,"$5,599.89",
7/5/2023,7/5/2023,7/5/2023,VOOG,Cash Div: R/D 2023-06-30 P/D 2023-07-05 - 10 shares at 0.6987,CDIV,,,$6.99,
6/30/2023,6/30/2023,6/30/2023,NVDA,Cash Div: R/D 2023-06-08 P/D 2023-06-30 - 40 shares at 0.04,CDIV,,,$1.60,
6/30/2023,6/30/2023,6/30/2023,,Interest Payment,INT,,,$6.31,
6/23/2023,6/23/2023,6/26/2023,MSFT,MSFT 6/23/2023 Put $335.00,STC,2,$0.09,$17.98,
6/23/2023,6/23/2023,6/26/2023,MSFT,MSFT 6/23/2023 Put $337.50,BTC,2,$1.75,-$350.00,
6/22/2023,6/22/2023,6/23/2023,MSFT,MSFT 6/23/2023 Put $335.00,BTO,1,$0.65,-$65.00,
6/22/2023,6/22/2023,6/23/2023,MSFT,MSFT 6/23/2023 Put $335.00,BTO,1,$0.65,-$65.00,
6/22/2023,6/22/2023,6/23/2023,MSFT,MSFT 6/23/2023 Put $337.50,STO,1,$1.46,$145.98,
6/22/2023,6/22/2023,6/23/2023,MSFT,MSFT 6/23/2023 Put $337.50,STO,1,$1.46,$145.98,
6/22/2023,6/22/2023,6/23/2023,MSFT,MSFT 6/23/2023 Put $342.50,OEXCS,3S,,,
6/22/2023,6/22/2023,6/26/2023,MSFT,"Microsoft
CUSIP: 594918104
3 MSFT Options Exercised",Sell,300,$342.50,"$102,749.13",
6/22/2023,6/21/2023,6/22/2023,MSFT,MSFT 6/23/2023 Put $345.00,OASGN,3,,,
6/22/2023,6/21/2023,6/23/2023,MSFT,"Microsoft
CUSIP: 594918104
3 MSFT Options Assigned",Buy,300,$345.00,"-$103,500.00",
6/16/2023,6/16/2023,6/20/2023,PLTR,PLTR 6/16/2023 Call $15.00,BTC,1,$1.28,-$128.00,
6/16/2023,6/16/2023,6/20/2023,PLTR,PLTR 6/16/2023 Call $15.00,BTC,1,$1.28,-$128.00,
6/15/2023,6/15/2023,6/16/2023,MSFT,MSFT 6/23/2023 Put $342.50,BTO,3,$2.17,-$651.00,
6/15/2023,6/15/2023,6/16/2023,MSFT,MSFT 6/23/2023 Put $345.00,STO,3,$2.94,$881.98,
6/14/2023,6/14/2023,6/15/2023,NVDA,NVDA 6/16/2023 Put $380.00,BTC,2,$0.18,-$36.00,
6/14/2023,6/14/2023,6/15/2023,NVDA,NVDA 6/16/2023 Put $380.00,BTC,2,$0.18,-$36.00,
6/14/2023,6/14/2023,6/15/2023,NVDA,NVDA 6/16/2023 Put $377.50,STC,1,$0.15,$14.98,
6/14/2023,6/14/2023,6/15/2023,NVDA,NVDA 6/16/2023 Put $377.50,STC,1,$0.15,$14.98,
6/14/2023,6/14/2023,6/15/2023,NVDA,NVDA 6/16/2023 Put $377.50,STC,2,$0.15,$29.98,
6/13/2023,6/13/2023,6/14/2023,RIOT,RIOT 7/14/2023 Call $14.00,STO,2,$0.31,$61.98,
6/13/2023,6/13/2023,6/14/2023,RIOT,RIOT 7/14/2023 Call $14.00,STO,2,$0.31,$61.98,
6/9/2023,6/9/2023,6/12/2023,NVDA,NVDA 6/16/2023 Put $380.00,STO,4,$5.04,"$2,015.97",
6/9/2023,6/9/2023,6/12/2023,NVDA,NVDA 6/16/2023 Put $377.50,BTO,4,$4.22,"-$1,688.00",
6/9/2023,6/9/2023,6/12/2023,RIOT,RIOT 6/16/2023 Call $15.00,BTC,4,$0.04,-$16.00,
6/8/2023,6/8/2023,6/8/2023,MSFT,Cash Div: R/D 2023-05-18 P/D 2023-06-08 - 20 shares at 0.68,CDIV,,,$13.60,
6/6/2023,6/6/2023,6/6/2023,JNJ,Cash Div: R/D 2023-05-23 P/D 2023-06-06 - 20 shares at 1.19,CDIV,,,$23.80,
6/2/2023,6/2/2023,6/5/2023,MSFT,MSFT 6/9/2023 Put $320.00,STC,1,$0.25,$24.98,
6/2/2023,6/2/2023,6/5/2023,MSFT,MSFT 6/9/2023 Put $320.00,STC,1,$0.26,$25.98,
6/2/2023,6/2/2023,6/5/2023,MSFT,MSFT 6/9/2023 Put $325.00,BTC,1,$0.58,-$58.00,
6/2/2023,6/2/2023,6/5/2023,MSFT,MSFT 6/9/2023 Put $325.00,BTC,1,$0.57,-$57.00,
5/31/2023,5/31/2023,5/31/2023,,Interest Payment,INT,,,$6.56,
5/31/2023,5/31/2023,6/1/2023,MSFT,MSFT 6/9/2023 Put $320.00,BTO,1,$1.47,-$147.00,
5/31/2023,5/31/2023,6/1/2023,MSFT,MSFT 6/9/2023 Put $320.00,BTO,1,$1.47,-$147.00,
5/31/2023,5/31/2023,6/1/2023,MSFT,MSFT 6/9/2023 Put $325.00,STO,1,$2.59,$258.98,
5/31/2023,5/31/2023,6/1/2023,MSFT,MSFT 6/9/2023 Put $325.00,STO,1,$2.59,$258.98,
5/26/2023,5/26/2023,5/30/2023,SCHW,SCHW 6/16/2023 Put $42.50,STC,1,$0.11,$10.98,
5/26/2023,5/26/2023,5/30/2023,SCHW,SCHW 6/16/2023 Put $45.00,BTC,1,$0.19,-$19.00,
5/25/2023,5/25/2023,5/26/2023,NVDA,NVDA 5/26/2023 Put $305.00,BTC,2,$0.05,-$10.00,
5/25/2023,5/25/2023,5/26/2023,NVDA,NVDA 5/26/2023 Put $302.50,STC,2,$0.04,$7.98,
5/25/2023,5/25/2023,5/26/2023,NVDA,NVDA 5/26/2023 Put $305.00,BTC,1,$0.06,-$6.00,
5/25/2023,5/25/2023,5/26/2023,NVDA,NVDA 5/26/2023 Put $302.50,STC,1,$0.05,$4.98,
5/23/2023,5/23/2023,5/24/2023,PLTR,PLTR 6/16/2023 Call $15.00,STO,1,$0.40,$39.98,
5/23/2023,5/23/2023,5/24/2023,PLTR,PLTR 6/16/2023 Call $15.00,STO,1,$0.39,$38.98,
5/19/2023,5/19/2023,5/22/2023,MSFT,MSFT 5/19/2023 Put $310.00,STC,1,$0.01,$0.98,
5/19/2023,5/19/2023,5/22/2023,MSFT,MSFT 5/19/2023 Put $312.50,BTC,1,$0.03,-$3.00,
5/18/2023,5/18/2023,5/19/2023,NVDA,NVDA 5/26/2023 Put $305.00,STO,3,$8.14,"$2,441.97",
5/18/2023,5/18/2023,5/19/2023,NVDA,NVDA 5/26/2023 Put $302.50,BTO,3,$7.21,"-$2,163.00",
5/17/2023,5/17/2023,5/18/2023,RIOT,RIOT 6/16/2023 Call $15.00,STO,1,$0.40,$39.98,
5/17/2023,5/17/2023,5/18/2023,RIOT,RIOT 6/16/2023 Call $15.00,STO,1,$0.41,$40.98,
5/17/2023,5/17/2023,5/18/2023,RIOT,RIOT 6/16/2023 Call $15.00,STO,1,$0.41,$40.98,
5/17/2023,5/17/2023,5/18/2023,RIOT,RIOT 6/16/2023 Call $15.00,STO,1,$0.40,$39.98,
5/16/2023,5/16/2023,5/17/2023,COIN,COIN 5/26/2023 Put $65.00,STC,1,$8.60,$859.98,
5/16/2023,5/16/2023,5/17/2023,COIN,COIN 5/26/2023 Put $66.00,BTC,1,$9.50,-$950.00,
5/16/2023,5/16/2023,5/17/2023,SCHW,SCHW 6/16/2023 Put $42.50,BTO,1,$0.49,-$49.00,
5/16/2023,5/16/2023,5/17/2023,SCHW,SCHW 6/16/2023 Put $45.00,STO,1,$0.76,$75.98,
5/15/2023,5/15/2023,5/16/2023,MSFT,MSFT 5/19/2023 Put $312.50,STO,1,$4.55,$454.98,
5/15/2023,5/15/2023,5/16/2023,MSFT,MSFT 5/19/2023 Put $310.00,BTO,1,$3.05,-$305.00,
5/12/2023,5/12/2023,5/15/2023,RIOT,RIOT 6/16/2023 Call $17.00,BTC,2,$0.28,-$56.00,
5/12/2023,5/12/2023,5/15/2023,RIOT,RIOT 6/16/2023 Call $17.00,BTC,2,$0.28,-$56.00,
5/2/2023,5/2/2023,5/3/2023,RIOT,RIOT 6/16/2023 Call $17.00,STO,1,$0.61,$60.98,
5/2/2023,5/2/2023,5/3/2023,RIOT,RIOT 6/16/2023 Call $17.00,STO,1,$0.61,$60.98,
5/2/2023,5/2/2023,5/3/2023,RIOT,RIOT 6/16/2023 Call $17.00,STO,1,$0.61,$60.98,
5/2/2023,5/2/2023,5/3/2023,RIOT,RIOT 6/16/2023 Call $17.00,STO,1,$0.61,$60.98,
5/1/2023,5/1/2023,5/2/2023,RIOT,RIOT 5/19/2023 Call $25.00,BTC,4,$0.05,-$20.00,
4/28/2023,4/28/2023,4/28/2023,,Interest Payment,INT,,,$3.51,
4/25/2023,4/25/2023,4/25/2023,MU,Cash Div: R/D 2023-04-10 P/D 2023-04-25 - 35 shares at 0.115,CDIV,,,$4.03,
4/20/2023,4/20/2023,4/21/2023,COIN,COIN 5/26/2023 Put $65.00,BTO,1,$10.42,"-$1,042.00",
4/20/2023,4/20/2023,4/21/2023,COIN,COIN 5/26/2023 Put $66.00,STO,1,$11.04,"$1,103.98",
4/13/2023,4/13/2023,4/13/2023,,ACH Deposit,ACH,,,"$5,000.00",
4/13/2023,4/13/2023,4/14/2023,RIOT,RIOT 5/19/2023 Call $25.00,STO,1,$0.20,$19.98,
4/13/2023,4/13/2023,4/14/2023,RIOT,RIOT 5/19/2023 Call $25.00,STO,1,$0.20,$19.98,
4/13/2023,4/13/2023,4/14/2023,RIOT,RIOT 5/19/2023 Call $25.00,STO,1,$0.20,$19.98,
4/13/2023,4/13/2023,4/14/2023,RIOT,RIOT 5/19/2023 Call $25.00,STO,1,$0.20,$19.98,
3/31/2023,3/31/2023,3/31/2023,,Interest Payment,INT,,,$3.90,
3/29/2023,3/29/2023,3/29/2023,VOOG,Cash Div: R/D 2023-03-27 P/D 2023-03-29 - 10 shares at 0.6836,CDIV,,,$6.84,
3/29/2023,3/29/2023,3/29/2023,NVDA,Cash Div: R/D 2023-03-08 P/D 2023-03-29 - 40 shares at 0.04,CDIV,,,$1.60,
3/15/2023,3/15/2023,3/15/2023,,ACH Withdrawal,ACH,,,"-$6,866.00",
3/9/2023,3/9/2023,3/9/2023,MSFT,Cash Div: R/D 2023-02-16 P/D 2023-03-09 - 20 shares at 0.68,CDIV,,,$13.60,
3/7/2023,3/7/2023,3/7/2023,JNJ,Cash Div: R/D 2023-02-21 P/D 2023-03-07 - 20 shares at 1.13,CDIV,,,$22.60,
2/28/2023,2/28/2023,2/28/2023,,Interest Payment,INT,,,$7.79,
1/31/2023,1/31/2023,1/31/2023,,Interest Payment,INT,,,$8.61,
1/19/2023,1/19/2023,1/19/2023,MU,Cash Div: R/D 2023-01-03 P/D 2023-01-19 - 35 shares at 0.115,CDIV,,,$4.03,
